"","1","2","3"
"2013-592",0,1,0
"2013-604",1,0,1
"2013-607",1,1,1
"2013-61",1,0,1
"2013-613(13)",1,1,1
"2013-628",1,0,1
"2013-64",0,0,1
"2013-646(13)",1,1,0
"2013-658",0,0,0
"2013-667",0,1,1
"2013-670",1,0,0
"2013-676",1,1,1
"2013-70",1,1,1
"2013-721(13)",0,1,1
"2013-727",0,1,1
"2013-727BU",1,1,1
"2013-73",1,0,0
"2013-760",0,0,0
"2013-769",0,0,0
"2013-775(13)",0,0,1
"2013-778(13)",0,0,0
"2013-790",1,1,1
"2013-793",0,1,0
"2013-793BU",0,0,0
"2013-799BU",1,1,1
"2013-805",0,0,1
"2013-823",1,1,1
"2013-832",0,0,1
"2013-835",0,0,0
"2013-835BU",0,0,0
"2013-865(13)",1,1,0
"2013-892",1,0,0
"2013-91",1,1,1
"2013-910",0,0,1
"2013-913(13)",0,0,0
"2013-925",0,1,1
"2013-925BU",1,0,1
"2013-934",0,1,0
"2013-94",0,1,1
"2013-955",0,0,0
"2013-958",1,0,0
"2013-967",0,0,0
"2013-979",1,0,0
"2013-985",0,1,0
"2013-997",0,1,0
"2013-AL1",0,1,0
"2013-AL2",1,0,0
"2013-BF2",0,0,0
"2013-BF4",0,0,0
"2013-BF5",1,0,0
"2013-BF6",1,1,0
"2013-BuckE1",1,1,1
"2013-BuckE2",0,0,1
"2013-CDL01",1,1,1
"2013-CDL02",1,0,1
"2013-JR1",0,0,1
"2013-Old91",0,0,0
"2013-SRW1",1,1,0
"2013-SRW2",1,1,1
"2013-SRW3",1,0,0
"2013-WILD1",1,1,1
"2013-WILD2",1,1,1
"2014-1000",1,0,1
"2014-1006",0,1,1
"2014-1012",0,0,1
"2014-1015",0,0,0
"2014-1069",0,0,0
"2014-1099",0,1,0
"2014-11",0,0,0
"2014-1129",0,1,1
"2014-1222",0,0,0
"2014-1264",0,0,0
"2014-1276",0,0,0
"2014-1282",0,1,1
"2014-1312",1,0,0
"2014-1315",0,1,1
"2014-1318",1,0,1
"2014-1321",0,0,0
"2014-1384",1,1,1
"2014-1396",1,0,1
"2014-1426",0,0,0
"2014-1453",0,0,1
"2014-1471",1,1,1
"2014-1480",0,0,1
"2014-15",0,0,0
"2014-1510",1,0,1
"2014-1513",1,1,1
"2014-1549",0,0,0
"2014-1552",0,0,0
"2014-229",0,0,0
"2014-238BU",1,1,0
"2014-256",1,0,1
"2014-268",0,0,1
"2014-28",1,1,0
"2014-310",1,0,0
"2014-328",0,1,1
"2014-355",0,0,1
"2014-37",1,0,1
"2014-379",1,1,1
"2014-448",0,0,0
"2014-505",0,1,1
"2014-508",0,1,1
"2014-511",0,1,0
"2014-517",0,0,1
"2014-526",0,0,1
"2014-526(14)",1,0,1
"2014-541",1,1,0
"2014-544",1,1,1
"2014-550",1,0,0
"2014-568",1,0,1
"2014-613(14)",1,1,0
"2014-64",0,0,1
"2014-646",1,0,0
"2014-649",1,0,0
"2014-655",1,1,0
"2014-655(12)",1,1,0
"2014-685",0,0,0
"2014-703",1,1,0
"2014-718",1,1,1
"2014-73",1,1,0
"2014-772",0,0,1
"2014-775",1,0,1
"2014-778(13)",1,0,0
"2014-787",1,0,0
"2014-796",0,1,0
"2014-832",1,0,1
"2014-847",0,0,1
"2014-865",1,1,0
"2014-877",1,0,0
"2014-889",1,1,1
"2014-889(12)",1,1,0
"2014-913",1,0,0
"2014-931",0,1,1
"2014-934",1,1,0
"2014-940",0,0,0
"2014-979",1,0,0
"2014-979(14)",1,1,1
"2014-982(14)",0,1,0
"2014-BE14",0,0,1
"2014-BOUV1",1,1,1
"2014-BUCK1",0,0,0
"2014-CAN3",1,1,0
"2014-CDLO4",1,1,1
"2014-Jen1",0,1,0
"2014-JR2",1,0,0
"2014-SRW1",0,1,1
"2014-STERN1",0,0,0
"2014-UM1",1,0,0
"2014-USC1",0,1,0
"2014-WD1",0,1,0
"2014-WD2",0,0,1
