"TRAP_NUM","MO","WK","YR","CXT","CXQ","CXE","CXS","CXTH","AEV","AED","AET","PC","ANFRA","ANFRE","CSINOR","CSINC","All_Species","LON","LAT","DESERT","SLTMRSH","DKPND","RCRP","GRP","CIT","DAT","PST","FSH","TOTAL","T","TMAX","TOBS","DIST_TO_SEA","TransCXT","t_samps","SEASON"
"19","04","16","1994",48,4,0,0,0,0,0,0,0,0,0,0,0,52,-116.112089183679,33.5103302976764,62.56,0,0,187.53,0,24.25,36.95,0.06,0.95,312.3,1,350.714285714286,336.214285714286,4.25669953936335,3.89182029811063,31,"spring"
"20","04","16","1994",161,9,0,0,0,0,1,0,0,0,0,0,0,171,-116.129851492963,33.5104243047012,23.24,0,0,109.39,63.59,96.25,19.84,0,0,312.31,1,350.714285714286,336.214285714286,5.78742086248027,5.08759633523238,32,"spring"
"21","04","16","1994",93,10,0,0,0,0,0,0,0,0,0,0,0,103,-116.146933857515,33.510178547789,28.18,0,0,96.05,45.57,122.41,20.1,0,0,312.31,1,350.714285714286,336.214285714286,7.22175458040948,4.54329478227,31,"spring"
"22","04","16","1994",68,1,0,0,0,0,1,0,0,0,0,0,0,70,-116.146975951721,33.5252751512161,49.61,0,0,102.06,49.59,105.78,5.26,0,0,312.3,1,350.714285714286,336.214285714286,7.89162688723154,4.23410650459726,31,"spring"
"23","04","16","1994",13,5,0,0,0,0,0,0,0,0,0,0,0,18,-116.147231399742,33.5397962736661,25.27,0,0,97.38,81.57,68.46,39.62,0,0,312.3,1,350.714285714286,336.214285714286,8.74270304100651,2.63905732961526,32,"spring"
"24","04","16","1994",166,9,0,0,0,0,1,0,1,0,0,1,0,178,-116.147346251925,33.554462570141,71.28,0,0,151.15,30.57,48.24,11.06,0,0,312.3,1,350.714285714286,336.214285714286,9.78969900790393,5.11799381241676,32,"spring"
"25","04","16","1994",115,5,0,0,0,1,0,0,0,0,0,0,0,121,-116.13015998982,33.5250572359253,48.58,0,0,154.69,25.74,56.08,27.22,0,0,312.31,1,350.714285714286,336.214285714286,6.51519472632406,4.75359019110636,30,"spring"
"26","04","16","1994",238,163,0,0,0,0,0,0,0,0,0,0,0,401,-116.130058014471,33.5397771658851,63.53,0,0,164.58,76.96,7.23,0,0,0,312.3,1,350.714285714286,336.214285714286,7.50425013230634,5.47646355193151,31,"spring"
"27","04","16","1994",291,8,0,0,0,0,0,0,2,0,0,0,0,301,-116.129752037184,33.5544235905368,169.92,0,0,121.01,7.11,0,0,9.06,5.2,312.3,1,350.714285714286,336.214285714286,8.60788819899623,5.67675380226828,32,"spring"
"29","04","16","1994",406,20,0,0,0,0,0,0,0,0,0,0,0,426,-116.112512664527,33.5545377345387,182.86,0,0,76.33,0,0,0,0,53.12,312.31,1,350.714285714286,336.214285714286,7.58097998331013,6.00881318544259,31,"spring"
"30","04","16","1994",214,19,0,0,0,0,0,0,0,0,0,0,0,233,-116.112774528282,33.5400464244073,287.09,0,0,18.6,3.5,0,0,0,3.12,312.31,1,350.714285714286,336.214285714286,6.36486038239695,5.37063802812766,31,"spring"
"31","04","16","1994",240,5,2,1,0,0,0,0,0,0,0,0,0,248,-116.094815082293,33.5397510570489,230.67,0,5.39,48.55,0,0,0,0,27.7,312.31,1,350.714285714286,336.214285714286,5.29935814184353,5.48479693349065,31,"spring"
"32","04","16","1994",0,20,0,0,0,2,0,0,0,0,0,92,0,114,-116.112643502163,33.5249882262004,215.44,0,0,55.95,0,0,0,0,40.92,312.31,1,350.714285714286,336.214285714286,5.2041179515856,0,31,"spring"
"33","04","16","1994",105,1,1,0,0,0,0,0,0,0,0,0,0,107,-116.095037211773,33.5246916608313,158.72,0,73.3,0,0,0,0,0,80.28,312.3,1,350.714285714286,336.214285714286,3.99496687423725,4.66343909411207,32,"spring"
"34","04","16","1994",512,1,0,0,0,0,1,0,0,0,0,0,0,514,-116.078850486332,33.5262756378852,290.8,0,21.51,0,0,0,0,0,0,312.31,1,350.714285714286,336.214285714286,3.2765489148821,6.24027584517077,31,"spring"
"35","04","16","1994",430,0,0,0,0,0,0,0,0,0,0,0,0,430,-116.07889283649,33.5396123221812,186.46,0,85.01,5.97,0,0,1.84,0,33.03,312.31,1,350.714285714286,336.214285714286,4.36012479143756,6.06610809010375,31,"spring"
"36","04","16","1994",172,0,1,0,0,0,0,0,0,0,0,0,0,173,-116.078733387717,33.554205787678,162.91,0,49.24,5.27,0,0,0,0,94.89,312.31,1,350.714285714286,336.214285714286,5.53530456753835,5.15329159449778,31,"spring"
"37","04","16","1994",73,2,0,0,0,0,0,0,0,0,0,0,0,75,-116.094578150598,33.5541757657346,199.51,0,6.88,76.4,0,0,24.26,0,5.25,312.3,1,350.714285714286,336.214285714286,6.53239504312798,4.30406509320417,31,"spring"
"39","04","16","1994",68,0,0,0,0,0,0,0,0,0,0,0,0,68,-116.043979353491,33.554226492057,53.2,0,0,10.21,52.45,195.54,0.9,0,0,312.3,1,350.714285714286,336.214285714286,4.12150685633819,4.23410650459726,31,"spring"
"40","04","16","1994",199,3,0,0,0,0,0,0,0,0,0,0,0,202,-116.026322302007,33.5543905398357,24.94,0,0,13.92,62.44,211,0,0,0,312.3,1,350.714285714286,336.214285714286,4.0825604535955,5.29831736654804,33,"spring"
"41","04","16","1994",112,0,0,0,0,0,0,0,0,0,0,0,0,112,-116.008693676108,33.5545739284671,13.98,0,0,0.41,113.64,184.28,0,0,0,312.31,1,350.714285714286,336.214285714286,4.0389358628849,4.72738781871234,33,"spring"
"42","04","16","1994",296,18,0,0,0,0,0,0,0,0,0,0,0,314,-116.025787284901,33.5401636554377,75.38,0,0,50.66,18.37,163.71,4.18,0,0,312.3,1,350.714285714286,336.214285714286,2.50943371793967,5.6937321388027,33,"spring"
"43","04","16","1994",164,1,2,0,0,0,0,0,0,1,0,0,0,168,-116.00850933249,33.5399880400094,48.16,0,0,7.53,60.79,122.05,73.77,0,0,312.3,1,350.714285714286,336.214285714286,2.50327955990069,5.10594547390058,32,"spring"
"44","04","16","1994",129,0,0,0,0,0,0,0,0,0,0,0,0,129,-116.043477083467,33.5394629817105,118.02,0,33.88,82.19,19.07,52.07,3.19,0,3.88,312.3,1,350.714285714286,336.214285714286,2.49262124473054,4.86753445045558,31,"spring"
"45","04","16","1994",1536,0,0,0,0,0,0,0,0,0,0,0,0,1536,-116.043264210412,33.5269154809017,142.47,1.73,10.59,0,0,1.67,0,0,0,156.46,1,350.714285714286,336.214285714286,1.1466814470703,7.3375877435386,33,"spring"
"46","04","16","1994",2368,0,0,0,0,0,0,0,0,4,0,0,0,2372,-116.026279846006,33.5247198752064,218.96,0.97,0,51.17,3.34,37.86,0,0,0,312.3,1,350.714285714286,336.214285714286,0.810011403111502,7.77022320415879,33,"spring"
"48","04","16","1994",592,0,0,0,0,0,0,0,0,0,0,0,0,592,-116.061193834649,33.5396264941129,273.63,0,14.41,6.13,0,1.08,0,0,17.07,312.32,1,350.714285714286,336.214285714286,3.25098804051951,6.38519439899773,32,"spring"
"50","04","16","1994",181,0,0,0,0,0,0,0,0,0,0,0,0,181,-115.99124383934,33.5400013752816,141.14,0,0,17.06,84.16,29.2,31.93,8.82,0,312.31,1,350.714285714286,336.214285714286,2.15678641405984,5.2040066870768,33,"spring"
"51","04","16","1994",229,2,0,0,0,0,4,0,0,0,0,0,0,235,-115.973754579786,33.5400408169515,185.05,0,0,0,11.18,109.43,6.66,0,0,312.32,1,350.714285714286,336.214285714286,2.23678795945716,5.4380793089232,31,"spring"
"52","04","16","1994",389,0,1,0,0,0,4,0,0,0,0,0,0,394,-115.956553931498,33.5400037098608,247.3,0,0,0,4.53,60.48,0,0,0,312.31,1,350.714285714286,336.214285714286,2.01653138120104,5.96614673912369,31,"spring"
"53","04","16","1994",39,0,0,0,0,0,0,0,0,0,0,0,0,39,-115.939282858124,33.539761439135,312.31,0,0,0,0,0,0,0,0,312.31,1,350.714285714286,336.214285714286,2.28160697745816,3.68887945411394,33,"spring"
"54","04","16","1994",3264,0,48,0,0,0,8,0,0,0,0,8,0,3328,-115.93898249613,33.5197249343921,293.37,5.24,0,0,0,13.7,0,0,0,312.31,1,350.714285714286,336.214285714286,0.204176043937583,8.09101504171053,33,"spring"
"55","04","16","1994",326,0,33,0,0,0,0,0,0,4,0,0,0,363,-116.008540286761,33.5250917231086,188.72,0,0,6.78,60.64,14.08,42.09,0,0,312.31,1,350.714285714286,336.214285714286,0.9105704548599,5.78996017089725,33,"spring"
"56","04","16","1994",1684,4,8,0,0,0,0,0,0,0,0,0,0,1696,-115.991190301448,33.5249473197426,182.09,2.65,0,61.13,36.93,29.51,0,0,0,312.31,1,350.714285714286,336.214285714286,0.502501564498204,7.42952084278646,32,"spring"
"57","04","16","1994",4344,0,8,0,0,0,0,0,0,0,0,0,0,4352,-115.973831585829,33.5246211406785,163.39,11.56,0,6.26,43.25,87.86,0,0,0,312.32,1,350.714285714286,336.214285714286,0.529334853903522,8.37678103769949,33,"spring"
"58","04","16","1994",1920,0,224,0,0,0,4,0,0,4,0,0,0,2152,-115.956082018721,33.5241237912174,205.7,15.37,0,0,58.82,32.42,0,0,0,312.31,1,350.714285714286,336.214285714286,0.297236066706164,7.56060116276856,33,"spring"
"59","04","16","1994",95,0,0,0,0,0,0,0,0,0,0,0,0,95,-115.922752099088,33.5233739730783,312.31,0,0,0,0,0,0,0,0,312.31,1,350.714285714286,336.214285714286,1.70082233939348,4.56434819146784,31,"spring"
"60","04","16","1994",372,1,53,0,0,0,0,0,0,1,0,0,0,427,-115.92029756881,33.5099494946497,304.14,8.16,0,0,0,0,0,0,0,312.3,1,350.714285714286,336.214285714286,0.469199250729246,5.92157841964382,33,"spring"
"61","04","16","1994",287,0,1,0,0,0,1,0,0,0,0,0,0,289,-115.901457251804,33.5105890703674,312.31,0,0,0,0,0,0,0,0,312.31,1,350.714285714286,336.214285714286,1.74389269247058,5.66296048013595,32,"spring"
"63","04","16","1994",86,0,0,0,0,0,1,0,0,0,0,0,0,87,-115.906832802226,33.4994605566741,156.46,0,0,0,0,0,0,0,0,156.46,1,350.714285714286,336.214285714286,0.661615010307184,4.46590811865458,32,"spring"
"64","04","16","1994",4,0,0,0,0,0,1,0,0,0,0,0,0,5,-115.890898908668,33.4774033706464,156.46,0,0,0,0,0,0,0,0,156.46,1,350.714285714286,336.214285714286,0.205637927458456,1.6094379124341,32,"spring"
"01","04","18","1994",824,0,456,0,0,0,0,0,0,1,0,0,0,1281,-116.04378952608,33.441176284239,157.74,5.52,0,0,0,63.54,7.43,0,0,234.23,2,303.571428571429,273.785714285714,0.313407145733172,6.71538338633468,33,"spring"
"02","04","18","1994",1720,100,280,0,0,0,0,0,0,1,0,1,0,2102,-116.060868971143,33.4405785159516,90.28,0,0,0,45.66,162.41,13.96,0,0,312.31,2,303.571428571429,273.785714285714,1.7978317494482,7.45066079621154,31,"spring"
"03","04","18","1994",962,0,46,0,0,0,0,0,0,2,0,0,0,1010,-116.073636480725,33.4407123380473,132.53,0,0,0,127.5,52.28,0,0,0,312.31,2,303.571428571429,273.785714285714,2.96949366365427,6.87005341179813,31,"spring"
"04","04","18","1994",441,2,9,0,0,0,0,0,0,0,0,0,0,452,-116.094160006286,33.4554894748286,93.56,0,0,17.8,97.96,98.08,1.25,0,3.66,312.31,2,303.571428571429,273.785714285714,2.97416238677357,6.0913098820777,32,"spring"
"05","04","18","1994",328,146,336,0,0,0,0,0,0,1,0,0,0,811,-116.060965598573,33.4554249351792,213.67,8.89,0,0,30.83,44.12,0,0,14.79,312.3,2,303.571428571429,273.785714285714,1.22005095918288,5.79605775076537,32,"spring"
"06","04","18","1994",1712,32,380,0,0,0,0,0,0,1,0,0,0,2125,-116.078663338594,33.4548699409948,95.68,0,0,35.65,84.55,66.99,29.44,0,0,312.31,2,303.571428571429,273.785714285714,2.0408775979276,7.44600149832412,32,"spring"
"07","04","18","1994",644,1,356,0,0,8,0,0,0,0,0,0,0,1009,-116.077577562081,33.4697331979169,226.64,9.97,0,36.81,0,22.29,13.75,0,2.85,312.31,2,303.571428571429,273.785714285714,0.78718305436476,6.46925031679577,32,"spring"
"08","04","18","1994",802,0,58,0,0,0,0,0,1,1,0,0,0,862,-116.095024643104,33.4696827623563,135.47,0,0,55.93,18.49,75.28,24.29,0,2.85,312.31,2,303.571428571429,273.785714285714,2.29056693072234,6.68835471394676,32,"spring"
"09","04","18","1994",116,1,6,0,0,0,0,0,1,0,0,0,0,124,-116.112163888889,33.4805555555555,61.54,0,0,26.35,4.98,175.1,43.04,0,1.29,312.3,2,303.571428571429,273.785714285714,3.55688821293111,4.76217393479776,32,"spring"
"10","04","18","1994",966,0,74,0,0,0,0,0,0,2,0,0,0,1042,-116.097177365925,33.4805555555555,263.03,0,0,19.94,0,19.69,2.87,0,6.78,312.31,2,303.571428571429,273.785714285714,2.18156928742819,6.87419849545329,32,"spring"
"11","04","18","1994",1280,0,656,0,0,3,0,0,0,2,0,0,0,1941,-116.080555555556,33.4805555555555,231.64,2.58,0,0,0,0,0,0,0,234.22,2,303.571428571429,273.785714285714,0.693216173230499,7.15539630189673,32,"spring"
"12","04","18","1994",53,154,3,0,0,0,0,0,1,0,0,0,0,211,-116.112437062453,33.4990937043527,94.31,0,0,63.01,0,63.86,87.56,3.56,0,312.3,2,303.571428571429,273.785714285714,3.79402752112479,3.98898404656427,31,"spring"
"13","04","18","1994",78,0,5,0,0,0,0,0,0,0,0,0,0,83,-116.095106863094,33.498469796742,188.87,0,0,96.86,0,6.59,20,0,0,312.32,2,303.571428571429,273.785714285714,2.32977282904294,4.36944785246702,32,"spring"
"14","04","18","1994",131,0,23,0,0,0,0,0,0,0,0,0,0,154,-116.080555555556,33.4980166666667,234.53,0,0,0,0,0,0,0,0,234.53,2,303.571428571429,273.785714285714,1.02822440653711,4.88280192258637,31,"spring"
"15","04","18","1994",32,4,0,0,0,2,0,0,0,0,0,0,0,38,-116.129671538396,33.4987077511208,28.28,0,0,97.6,47.65,109.74,29.04,0,0,312.31,2,303.571428571429,273.785714285714,5.30202102681289,3.49650756146648,32,"spring"
"16","04","18","1994",28,1,2,0,0,0,0,0,0,0,0,0,0,31,-116.129820514715,33.4806120417832,99.2,0,0,89.81,1.4,97.7,24.2,0,0,312.31,2,303.571428571429,273.785714285714,5.18408139952859,3.36729582998647,31,"spring"
"17","04","18","1994",152,0,2,0,0,0,0,0,0,0,0,0,0,154,-116.080418214555,33.5132965785911,135.71,0,20.75,0,0,0,0,0,0,156.46,2,303.571428571429,273.785714285714,2.14133467524184,5.03043792139244,25,"spring"
"18","04","18","1994",5,0,0,0,0,2,0,0,0,0,0,0,0,7,-116.095658083723,33.5102133092492,109.13,0,46.9,106.63,0,0,13.9,0,35.74,312.3,2,303.571428571429,273.785714285714,2.94260927887526,1.79175946922805,31,"spring"
"19","04","18","1994",4,0,0,0,0,1,0,0,0,0,0,0,0,5,-116.112089183679,33.5103302976764,62.56,0,0,187.53,0,24.25,36.95,0.06,0.95,312.3,2,303.571428571429,273.785714285714,4.25669953936335,1.6094379124341,31,"spring"
"20","04","18","1994",25,9,0,0,0,4,0,0,0,0,0,0,0,38,-116.129851492963,33.5104243047012,23.24,0,0,109.39,63.59,96.25,19.84,0,0,312.31,2,303.571428571429,273.785714285714,5.78742086248027,3.25809653802148,32,"spring"
"21","04","18","1994",34,4,0,0,0,0,0,0,0,0,0,0,0,38,-116.146933857515,33.510178547789,28.18,0,0,96.05,45.57,122.41,20.1,0,0,312.31,2,303.571428571429,273.785714285714,7.22175458040948,3.55534806148941,31,"spring"
"22","04","18","1994",12,0,0,0,0,0,0,0,0,0,0,0,0,12,-116.146975951721,33.5252751512161,49.61,0,0,102.06,49.59,105.78,5.26,0,0,312.3,2,303.571428571429,273.785714285714,7.89162688723154,2.56494935746154,31,"spring"
"23","04","18","1994",4,19,0,0,0,2,0,0,0,0,0,0,0,25,-116.147231399742,33.5397962736661,25.27,0,0,97.38,81.57,68.46,39.62,0,0,312.3,2,303.571428571429,273.785714285714,8.74270304100651,1.6094379124341,32,"spring"
"24","04","18","1994",72,0,0,0,0,1,0,0,1,0,0,0,0,74,-116.147346251925,33.554462570141,71.28,0,0,151.15,30.57,48.24,11.06,0,0,312.3,2,303.571428571429,273.785714285714,9.78969900790393,4.29045944114839,32,"spring"
"25","04","18","1994",22,0,0,0,0,0,0,0,0,0,0,0,0,22,-116.13015998982,33.5250572359253,48.58,0,0,154.69,25.74,56.08,27.22,0,0,312.31,2,303.571428571429,273.785714285714,6.51519472632406,3.13549421592915,30,"spring"
"26","04","18","1994",122,187,0,0,0,0,0,0,0,0,0,0,0,309,-116.130058014471,33.5397771658851,63.53,0,0,164.58,76.96,7.23,0,0,0,312.3,2,303.571428571429,273.785714285714,7.50425013230634,4.81218435537242,31,"spring"
"27","04","18","1994",158,16,0,0,0,0,0,0,0,0,0,0,0,174,-116.129752037184,33.5544235905368,169.92,0,0,121.01,7.11,0,0,9.06,5.2,312.3,2,303.571428571429,273.785714285714,8.60788819899623,5.06890420222023,32,"spring"
"29","04","18","1994",131,8,0,0,0,0,0,0,0,0,0,0,0,139,-116.112512664527,33.5545377345387,182.86,0,0,76.33,0,0,0,0,53.12,312.31,2,303.571428571429,273.785714285714,7.58097998331013,4.88280192258637,31,"spring"
"30","04","18","1994",82,7,0,0,0,0,0,0,0,0,0,0,0,89,-116.112774528282,33.5400464244073,287.09,0,0,18.6,3.5,0,0,0,3.12,312.31,2,303.571428571429,273.785714285714,6.36486038239695,4.4188406077966,31,"spring"
"31","04","18","1994",136,2,2,0,0,0,0,0,0,0,0,0,0,140,-116.094815082293,33.5397510570489,230.67,0,5.39,48.55,0,0,0,0,27.7,312.31,2,303.571428571429,273.785714285714,5.29935814184353,4.91998092582813,31,"spring"
"32","04","18","1994",44,18,0,0,0,1,0,0,0,0,0,0,0,63,-116.112643502163,33.5249882262004,215.44,0,0,55.95,0,0,0,0,40.92,312.31,2,303.571428571429,273.785714285714,5.2041179515856,3.80666248977032,31,"spring"
"33","04","18","1994",56,0,9,0,0,0,0,0,0,0,0,0,0,65,-116.095037211773,33.5246916608313,158.72,0,73.3,0,0,0,0,0,80.28,312.3,2,303.571428571429,273.785714285714,3.99496687423725,4.04305126783455,32,"spring"
"34","04","18","1994",486,0,1,0,0,1,0,0,0,0,0,0,0,488,-116.078850486332,33.5262756378852,290.8,0,21.51,0,0,0,0,0,0,312.31,2,303.571428571429,273.785714285714,3.2765489148821,6.18826412308259,31,"spring"
"35","04","18","1994",311,0,0,0,0,0,0,0,0,0,0,0,0,311,-116.07889283649,33.5396123221812,186.46,0,85.01,5.97,0,0,1.84,0,33.03,312.31,2,303.571428571429,273.785714285714,4.36012479143756,5.74300318780948,31,"spring"
"36","04","18","1994",73,0,0,0,0,0,0,0,0,1,0,0,0,74,-116.078733387717,33.554205787678,162.91,0,49.24,5.27,0,0,0,0,94.89,312.31,2,303.571428571429,273.785714285714,5.53530456753835,4.30406509320417,31,"spring"
"37","04","18","1994",3,2,0,0,0,0,0,0,0,0,0,0,0,5,-116.094578150598,33.5541757657346,199.51,0,6.88,76.4,0,0,24.26,0,5.25,312.3,2,303.571428571429,273.785714285714,6.53239504312798,1.38629436111989,31,"spring"
"38","04","18","1994",210,0,0,0,0,0,0,0,0,0,0,0,0,210,-116.060326972984,33.5107915338315,234.23,0,0,0,0,0,0,0,0,234.23,2,303.571428571429,273.785714285714,1.13081944046155,5.35185813347607,30,"spring"
"39","04","18","1994",82,9,0,0,0,0,0,0,0,0,0,0,0,91,-116.043979353491,33.554226492057,53.2,0,0,10.21,52.45,195.54,0.9,0,0,312.3,2,303.571428571429,273.785714285714,4.12150685633819,4.4188406077966,31,"spring"
"40","04","18","1994",97,2,0,0,0,0,0,0,0,0,0,0,0,99,-116.026322302007,33.5543905398357,24.94,0,0,13.92,62.44,211,0,0,0,312.3,2,303.571428571429,273.785714285714,4.0825604535955,4.58496747867057,33,"spring"
"41","04","18","1994",73,0,2,0,0,0,0,0,0,2,0,0,0,77,-116.008693676108,33.5545739284671,13.98,0,0,0.41,113.64,184.28,0,0,0,312.31,2,303.571428571429,273.785714285714,4.0389358628849,4.30406509320417,33,"spring"
"42","04","18","1994",223,64,4,0,0,0,0,0,0,1,0,0,0,292,-116.025787284901,33.5401636554377,75.38,0,0,50.66,18.37,163.71,4.18,0,0,312.3,2,303.571428571429,273.785714285714,2.50943371793967,5.41164605185504,33,"spring"
"43","04","18","1994",191,7,7,0,0,4,0,0,0,2,0,0,0,211,-116.00850933249,33.5399880400094,48.16,0,0,7.53,60.79,122.05,73.77,0,0,312.3,2,303.571428571429,273.785714285714,2.50327955990069,5.25749537202778,32,"spring"
"44","04","18","1994",108,0,1,0,0,0,0,0,1,0,0,0,0,110,-116.043477083467,33.5394629817105,118.02,0,33.88,82.19,19.07,52.07,3.19,0,3.88,312.3,2,303.571428571429,273.785714285714,2.49262124473054,4.69134788222914,31,"spring"
"45","04","18","1994",996,0,0,0,0,9,0,0,0,0,0,0,0,1005,-116.043264210412,33.5269154809017,142.47,1.73,10.59,0,0,1.67,0,0,0,156.46,2,303.571428571429,273.785714285714,1.1466814470703,6.90475076996184,33,"spring"
"46","04","18","1994",489,1,10,0,0,0,0,0,0,3,0,0,0,503,-116.026279846006,33.5247198752064,218.96,0.97,0,51.17,3.34,37.86,0,0,0,312.3,2,303.571428571429,273.785714285714,0.810011403111502,6.19440539110467,33,"spring"
"47","04","18","1994",132,1,0,0,0,0,0,0,0,1,0,0,0,134,-116.061332043981,33.5523576754921,168.84,0,24.14,66.01,7.38,19.1,6.03,0,20.8,312.3,2,303.571428571429,273.785714285714,4.42771615250869,4.89034912822175,31,"spring"
"48","04","18","1994",568,0,2,0,0,0,0,0,0,0,0,0,0,570,-116.061193834649,33.5396264941129,273.63,0,14.41,6.13,0,1.08,0,0,17.07,312.32,2,303.571428571429,273.785714285714,3.25098804051951,6.34388043412633,32,"spring"
"49","04","18","1994",1072,0,52,0,0,0,0,0,0,0,0,0,0,1124,-116.060992816545,33.5250124901685,234.53,0,0,0,0,0,0,0,0,234.53,2,303.571428571429,273.785714285714,2.03900829168844,6.9782137426307,13,"spring"
"50","04","18","1994",143,1,6,0,0,0,0,0,0,1,0,0,0,151,-115.99124383934,33.5400013752816,141.14,0,0,17.06,84.16,29.2,31.93,8.82,0,312.31,2,303.571428571429,273.785714285714,2.15678641405984,4.969813299576,33,"spring"
"51","04","18","1994",69,0,1,0,0,0,1,0,0,0,0,0,0,71,-115.973754579786,33.5400408169515,185.05,0,0,0,11.18,109.43,6.66,0,0,312.32,2,303.571428571429,273.785714285714,2.23678795945716,4.24849524204936,31,"spring"
"52","04","18","1994",505,0,1,0,0,0,2,0,0,0,0,1,0,509,-115.956553931498,33.5400037098608,247.3,0,0,0,4.53,60.48,0,0,0,312.31,2,303.571428571429,273.785714285714,2.01653138120104,6.22653666928747,31,"spring"
