Site,Time,Occ1,Occ2,Occ3,Tussock,Pasture,HabType
74,1,0,0,0,0,1,Pasture
75,1,0,NA,NA,0,1,Pasture
76,1,0,0,0,0,1,Pasture
77,1,0,NA,NA,0,1,Pasture
78,1,0,0,NA,0,1,Pasture
79,1,0,NA,NA,0,1,Pasture
80,1,1,NA,NA,0,1,Pasture
81,1,0,0,0,0,1,Pasture
82,1,0,0,0,0,1,Pasture
83,1,0,0,NA,0,1,Pasture
84,1,0,NA,NA,0,1,Pasture
85,1,NA,NA,NA,0,1,Pasture
86,1,1,NA,NA,0,1,Pasture
87,1,0,NA,NA,0,1,Pasture
88,1,1,0,NA,0,1,Pasture
89,1,0,0,NA,0,1,Pasture
90,1,0,0,0,0,1,Pasture
91,1,0,0,0,0,1,Pasture
92,1,0,0,0,0,1,Pasture
93,1,0,0,0,0,1,Pasture
94,1,0,NA,NA,0,1,Pasture
95,1,0,0,0,0,1,Pasture
96,1,0,NA,NA,0,1,Pasture
97,1,1,NA,NA,0,1,Pasture
98,1,0,0,0,0,1,Pasture
99,1,1,NA,NA,0,1,Pasture
100,1,1,NA,NA,0,1,Pasture
101,1,1,NA,NA,0,1,Pasture
102,1,1,1,NA,0,1,Pasture
103,1,0,NA,NA,0,1,Pasture
104,1,1,NA,NA,0,1,Pasture
105,1,1,1,NA,0,1,Pasture
106,1,0,0,0,0,1,Pasture
107,1,0,0,0,0,1,Pasture
108,1,NA,NA,NA,0,1,Pasture
109,1,0,0,0,0,1,Pasture
110,1,0,NA,NA,0,1,Pasture
111,1,0,NA,NA,0,1,Pasture
112,1,0,NA,NA,0,1,Pasture
113,1,0,0,0,0,1,Pasture
114,1,1,0,1,0,1,Pasture
115,1,0,0,NA,0,1,Pasture
116,1,0,0,0,0,1,Pasture
117,1,0,0,NA,0,1,Pasture
118,1,0,0,0,0,1,Pasture
119,1,0,NA,NA,0,1,Pasture
120,1,1,NA,NA,0,1,Pasture
121,1,1,NA,NA,0,1,Pasture
122,1,0,0,0,0,1,Pasture
123,1,0,NA,NA,0,1,Pasture
124,1,0,NA,NA,0,1,Pasture
125,1,NA,NA,NA,0,1,Pasture
126,1,NA,NA,NA,0,1,Pasture
127,1,NA,NA,NA,0,1,Pasture
128,1,NA,NA,NA,0,1,Pasture
129,1,NA,NA,NA,0,1,Pasture
130,1,NA,NA,NA,0,1,Pasture
131,1,NA,NA,NA,0,1,Pasture
132,1,NA,NA,NA,0,1,Pasture
133,1,NA,NA,NA,0,1,Pasture
134,1,NA,NA,NA,0,1,Pasture
135,1,NA,NA,NA,0,1,Pasture
136,1,NA,NA,NA,1,0,Tussock
137,1,0,0,0,1,0,Tussock
138,1,1,NA,NA,1,0,Tussock
139,1,1,NA,NA,1,0,Tussock
140,1,0,NA,NA,1,0,Tussock
141,1,0,NA,NA,1,0,Tussock
142,1,0,NA,NA,1,0,Tussock
143,1,0,NA,NA,1,0,Tussock
144,1,1,NA,NA,1,0,Tussock
145,1,0,NA,NA,1,0,Tussock
146,1,0,NA,NA,1,0,Tussock
147,1,0,0,0,1,0,Tussock
148,1,0,NA,NA,1,0,Tussock
149,1,0,NA,NA,1,0,Tussock
150,1,0,NA,NA,1,0,Tussock
151,1,0,NA,NA,1,0,Tussock
152,1,0,0,0,1,0,Tussock
153,1,0,NA,NA,1,0,Tussock
154,1,1,NA,NA,1,0,Tussock
155,1,1,NA,NA,1,0,Tussock
156,1,0,NA,NA,1,0,Tussock
157,1,0,NA,NA,1,0,Tussock
158,1,0,0,0,1,0,Tussock
159,1,0,NA,NA,1,0,Tussock
160,1,0,NA,NA,1,0,Tussock
161,1,0,NA,NA,1,0,Tussock
162,1,0,NA,NA,1,0,Tussock
163,1,0,NA,NA,1,0,Tussock
164,1,0,0,0,1,0,Tussock
165,1,0,NA,NA,1,0,Tussock
166,1,1,NA,NA,1,0,Tussock
167,1,0,0,NA,1,0,Tussock
168,1,0,1,NA,1,0,Tussock
169,1,0,1,NA,1,0,Tussock
170,1,1,NA,NA,1,0,Tussock
171,1,0,0,NA,1,0,Tussock
172,1,0,NA,NA,1,0,Tussock
173,1,0,NA,NA,1,0,Tussock
174,1,0,1,1,1,0,Tussock
175,1,0,0,1,1,0,Tussock
176,1,0,NA,NA,1,0,Tussock
177,1,1,NA,NA,1,0,Tussock
178,1,1,NA,NA,1,0,Tussock
179,1,0,NA,NA,1,0,Tussock
180,1,0,NA,NA,1,0,Tussock
181,1,0,0,NA,1,0,Tussock
182,1,1,NA,NA,1,0,Tussock
183,1,0,NA,NA,1,0,Tussock
184,1,1,NA,NA,1,0,Tussock
185,1,1,NA,NA,1,0,Tussock
186,1,0,NA,NA,1,0,Tussock
187,1,0,NA,NA,1,0,Tussock
188,1,0,NA,NA,1,0,Tussock
189,1,1,NA,NA,1,0,Tussock
190,1,0,NA,NA,1,0,Tussock
191,1,0,NA,NA,1,0,Tussock
192,1,0,0,0,1,0,Tussock
193,1,0,NA,NA,1,0,Tussock
194,1,0,NA,NA,1,0,Tussock
195,1,0,0,0,1,0,Tussock
196,1,0,0,0,1,0,Tussock
197,1,0,NA,NA,1,0,Tussock
198,1,1,NA,NA,1,0,Tussock
199,1,0,NA,NA,1,0,Tussock
200,1,0,0,0,1,0,Tussock
201,1,0,1,NA,1,0,Tussock
202,1,0,NA,NA,1,0,Tussock
203,1,0,0,0,1,0,Tussock
204,1,0,NA,NA,1,0,Tussock
205,1,0,0,0,1,0,Tussock
206,1,0,NA,NA,1,0,Tussock
207,1,0,0,0,1,0,Tussock
208,1,0,NA,NA,1,0,Tussock
209,1,0,NA,NA,1,0,Tussock
210,1,0,0,0,1,0,Tussock
211,1,0,0,0,1,0,Tussock
212,1,1,NA,NA,1,0,Tussock
213,1,1,NA,NA,1,0,Tussock
214,1,1,NA,NA,1,0,Tussock
215,1,0,0,0,1,0,Tussock
216,1,0,NA,NA,1,0,Tussock
217,1,1,NA,NA,1,0,Tussock
218,1,NA,NA,NA,1,0,Tussock
219,1,0,1,NA,1,0,Tussock
220,1,1,NA,NA,1,0,Tussock
221,1,1,NA,NA,1,0,Tussock
222,1,1,NA,NA,1,0,Tussock
223,1,0,1,NA,1,0,Tussock
224,1,1,0,NA,1,0,Tussock
225,1,0,0,0,1,0,Tussock
226,1,0,NA,NA,1,0,Tussock
227,1,0,NA,NA,1,0,Tussock
228,1,1,NA,NA,1,0,Tussock
229,1,1,NA,NA,1,0,Tussock
230,1,1,NA,NA,1,0,Tussock
231,1,0,NA,NA,1,0,Tussock
232,1,0,NA,NA,1,0,Tussock
233,1,0,NA,NA,1,0,Tussock
234,1,0,NA,NA,1,0,Tussock
235,1,1,NA,NA,1,0,Tussock
236,1,1,NA,NA,1,0,Tussock
237,1,1,NA,NA,1,0,Tussock
238,1,1,NA,NA,1,0,Tussock
239,1,1,NA,NA,1,0,Tussock
240,1,1,NA,NA,1,0,Tussock
241,1,1,NA,NA,1,0,Tussock
242,1,1,NA,NA,1,0,Tussock
243,1,1,NA,NA,1,0,Tussock
244,1,0,0,1,1,0,Tussock
245,1,1,NA,NA,1,0,Tussock
246,1,1,NA,NA,1,0,Tussock
247,1,1,NA,NA,1,0,Tussock
248,1,0,NA,NA,1,0,Tussock
249,1,0,NA,NA,1,0,Tussock
250,1,1,NA,NA,1,0,Tussock
251,1,1,NA,NA,1,0,Tussock
252,1,0,1,NA,1,0,Tussock
253,1,1,NA,NA,1,0,Tussock
254,1,0,0,NA,1,0,Tussock
255,1,0,NA,NA,1,0,Tussock
256,1,1,NA,NA,1,0,Tussock
257,1,1,NA,NA,1,0,Tussock
258,1,0,0,0,1,0,Tussock
259,1,0,0,0,1,0,Tussock
260,1,0,1,NA,1,0,Tussock
261,1,0,0,0,1,0,Tussock
262,1,0,NA,NA,1,0,Tussock
263,1,0,0,NA,1,0,Tussock
264,1,0,NA,NA,1,0,Tussock
265,1,0,NA,NA,1,0,Tussock
266,1,0,NA,NA,1,0,Tussock
267,1,0,0,0,1,0,Tussock
268,1,0,0,0,1,0,Tussock
269,1,0,NA,NA,1,0,Tussock
270,1,0,NA,NA,1,0,Tussock
271,1,0,0,0,1,0,Tussock
272,1,0,0,0,1,0,Tussock
273,1,NA,NA,NA,1,0,Tussock
274,1,0,1,NA,1,0,Tussock
275,1,0,0,0,1,0,Tussock
276,1,0,0,0,1,0,Tussock
277,1,0,NA,NA,1,0,Tussock
278,1,1,NA,NA,1,0,Tussock
279,1,0,0,0,1,0,Tussock
280,1,0,NA,NA,1,0,Tussock
281,1,0,NA,NA,1,0,Tussock
282,1,0,0,0,1,0,Tussock
283,1,1,NA,NA,1,0,Tussock
284,1,1,NA,NA,1,0,Tussock
285,1,1,NA,NA,1,0,Tussock
286,1,1,NA,NA,1,0,Tussock
287,1,0,NA,NA,1,0,Tussock
288,1,0,NA,NA,1,0,Tussock
289,1,1,NA,NA,1,0,Tussock
290,1,1,NA,NA,1,0,Tussock
291,1,0,NA,NA,1,0,Tussock
292,1,1,NA,NA,1,0,Tussock
293,1,NA,NA,NA,1,0,Tussock
294,1,0,0,0,1,0,Tussock
295,1,1,NA,NA,1,0,Tussock
296,1,0,NA,NA,1,0,Tussock
297,1,1,NA,NA,1,0,Tussock
298,1,NA,NA,NA,1,0,Tussock
299,1,1,NA,NA,1,0,Tussock
300,1,0,NA,NA,1,0,Tussock
301,1,1,NA,NA,1,0,Tussock
302,1,0,0,0,1,0,Tussock
303,1,0,NA,NA,1,0,Tussock
304,1,0,NA,NA,1,0,Tussock
305,1,0,NA,NA,1,0,Tussock
306,1,0,NA,NA,1,0,Tussock
307,1,0,1,0,1,0,Tussock
308,1,1,NA,NA,1,0,Tussock
309,1,0,NA,NA,1,0,Tussock
310,1,1,NA,NA,1,0,Tussock
311,1,1,1,NA,1,0,Tussock
312,1,1,NA,NA,1,0,Tussock
313,1,0,1,NA,1,0,Tussock
314,1,NA,NA,NA,1,0,Tussock
315,1,NA,NA,NA,1,0,Tussock
316,1,NA,NA,NA,1,0,Tussock
317,1,NA,NA,NA,1,0,Tussock
318,1,NA,NA,NA,1,0,Tussock
319,1,NA,NA,NA,1,0,Tussock
320,1,NA,NA,NA,1,0,Tussock
321,1,NA,NA,NA,1,0,Tussock
322,1,NA,NA,NA,1,0,Tussock
323,1,NA,NA,NA,1,0,Tussock
324,1,NA,NA,NA,1,0,Tussock
325,1,NA,NA,NA,1,0,Tussock
326,1,NA,NA,NA,1,0,Tussock
327,1,NA,NA,NA,1,0,Tussock
328,1,0,NA,NA,1,0,Tussock
329,1,NA,NA,NA,1,0,Tussock
330,1,NA,NA,NA,1,0,Tussock
331,1,NA,NA,NA,1,0,Tussock
332,1,NA,NA,NA,1,0,Tussock
333,1,NA,NA,NA,1,0,Tussock
334,1,NA,NA,NA,1,0,Tussock
335,1,NA,NA,NA,1,0,Tussock
336,1,NA,NA,NA,1,0,Tussock
337,1,NA,NA,NA,1,0,Tussock
338,1,0,0,NA,1,0,Tussock
1,2,0,0,0,0,1,Pasture
2,2,0,0,NA,0,1,Pasture
3,2,0,0,NA,0,1,Pasture
4,2,0,NA,NA,0,1,Pasture
5,2,NA,NA,NA,0,1,Pasture
6,2,NA,NA,NA,0,1,Pasture
7,2,NA,NA,NA,0,1,Pasture
8,2,NA,NA,NA,0,1,Pasture
9,2,NA,NA,NA,0,1,Pasture
10,2,0,NA,NA,0,1,Pasture
11,2,NA,NA,NA,0,1,Pasture
12,2,0,0,0,0,1,Pasture
13,2,1,NA,NA,0,1,Pasture
14,2,0,NA,NA,0,1,Pasture
15,2,1,NA,NA,0,1,Pasture
16,2,1,NA,NA,0,1,Pasture
17,2,0,NA,NA,0,1,Pasture
18,2,0,NA,NA,0,1,Pasture
19,2,0,0,0,0,1,Pasture
20,2,0,NA,NA,0,1,Pasture
21,2,1,NA,NA,0,1,Pasture
22,2,0,0,0,0,1,Pasture
23,2,0,NA,NA,0,1,Pasture
24,2,0,0,0,0,1,Pasture
25,2,0,0,0,0,1,Pasture
26,2,0,NA,NA,0,1,Pasture
27,2,0,0,0,0,1,Pasture
28,2,0,0,0,0,1,Pasture
29,2,0,NA,NA,0,1,Pasture
30,2,0,0,NA,0,1,Pasture
31,2,0,0,0,0,1,Pasture
32,2,0,NA,NA,0,1,Pasture
33,2,1,NA,NA,0,1,Pasture
34,2,NA,NA,NA,0,1,Pasture
35,2,NA,NA,NA,0,1,Pasture
36,2,0,0,0,0,1,Pasture
37,2,1,NA,NA,0,1,Pasture
38,2,0,0,0,0,1,Pasture
39,2,0,NA,NA,0,1,Pasture
40,2,0,0,0,0,1,Pasture
41,2,0,0,0,0,1,Pasture
42,2,0,0,0,0,1,Pasture
43,2,0,0,NA,0,1,Pasture
44,2,0,0,0,0,1,Pasture
45,2,0,0,0,0,1,Pasture
46,2,0,0,NA,0,1,Pasture
47,2,0,0,0,0,1,Pasture
48,2,0,0,NA,0,1,Pasture
49,2,0,NA,NA,0,1,Pasture
50,2,0,0,0,0,1,Pasture
51,2,0,NA,NA,0,1,Pasture
52,2,0,NA,NA,0,1,Pasture
53,2,0,NA,NA,0,1,Pasture
54,2,0,NA,NA,0,1,Pasture
55,2,NA,NA,NA,0,1,Pasture
56,2,0,NA,NA,0,1,Pasture
57,2,0,0,0,0,1,Pasture
58,2,0,NA,NA,0,1,Pasture
59,2,0,NA,NA,0,1,Pasture
60,2,0,NA,NA,0,1,Pasture
61,2,0,0,0,0,1,Pasture
62,2,0,NA,NA,0,1,Pasture
63,2,0,0,NA,0,1,Pasture
64,2,0,0,0,0,1,Pasture
65,2,0,0,NA,0,1,Pasture
66,2,0,NA,NA,0,1,Pasture
67,2,0,NA,NA,0,1,Pasture
68,2,0,NA,NA,0,1,Pasture
69,2,0,0,0,0,1,Pasture
70,2,0,0,0,0,1,Pasture
71,2,0,1,NA,0,1,Pasture
72,2,0,0,0,0,1,Pasture
73,2,0,0,0,0,1,Pasture
74,2,0,0,0,0,1,Pasture
75,2,NA,NA,NA,0,1,Pasture
76,2,0,0,0,0,1,Pasture
77,2,0,NA,NA,0,1,Pasture
78,2,0,NA,NA,0,1,Pasture
79,2,0,0,NA,0,1,Pasture
80,2,1,NA,NA,0,1,Pasture
81,2,0,0,1,0,1,Pasture
82,2,0,0,NA,0,1,Pasture
83,2,0,0,NA,0,1,Pasture
84,2,1,NA,NA,0,1,Pasture
85,2,0,0,NA,0,1,Pasture
86,2,1,NA,NA,0,1,Pasture
87,2,NA,NA,NA,0,1,Pasture
88,2,0,0,0,0,1,Pasture
89,2,1,NA,NA,0,1,Pasture
90,2,0,0,0,0,1,Pasture
91,2,0,0,0,0,1,Pasture
92,2,0,0,0,0,1,Pasture
93,2,0,0,0,0,1,Pasture
94,2,0,0,NA,0,1,Pasture
95,2,0,0,NA,0,1,Pasture
96,2,1,NA,NA,0,1,Pasture
97,2,1,1,0,0,1,Pasture
98,2,1,NA,NA,0,1,Pasture
99,2,0,NA,NA,0,1,Pasture
100,2,1,NA,NA,0,1,Pasture
101,2,1,NA,NA,0,1,Pasture
102,2,1,NA,NA,0,1,Pasture
103,2,0,NA,NA,0,1,Pasture
104,2,1,1,NA,0,1,Pasture
105,2,1,NA,NA,0,1,Pasture
106,2,0,0,0,0,1,Pasture
107,2,0,0,NA,0,1,Pasture
108,2,NA,NA,NA,0,1,Pasture
109,2,0,0,0,0,1,Pasture
110,2,0,0,NA,0,1,Pasture
111,2,0,NA,NA,0,1,Pasture
112,2,0,NA,NA,0,1,Pasture
113,2,0,0,NA,0,1,Pasture
114,2,0,NA,NA,0,1,Pasture
115,2,0,0,NA,0,1,Pasture
116,2,0,0,NA,0,1,Pasture
117,2,0,0,NA,0,1,Pasture
118,2,0,0,NA,0,1,Pasture
119,2,0,0,0,0,1,Pasture
120,2,1,NA,NA,0,1,Pasture
121,2,1,NA,NA,0,1,Pasture
122,2,0,0,NA,0,1,Pasture
123,2,0,NA,NA,0,1,Pasture
124,2,NA,NA,NA,0,1,Pasture
125,2,0,NA,NA,0,1,Pasture
126,2,NA,NA,NA,0,1,Pasture
127,2,0,NA,NA,0,1,Pasture
128,2,NA,NA,NA,0,1,Pasture
129,2,NA,NA,NA,0,1,Pasture
130,2,NA,NA,NA,0,1,Pasture
131,2,NA,NA,NA,0,1,Pasture
132,2,NA,NA,NA,0,1,Pasture
133,2,NA,NA,NA,0,1,Pasture
134,2,NA,NA,NA,0,1,Pasture
135,2,NA,NA,NA,0,1,Pasture
136,2,0,NA,NA,1,0,Tussock
137,2,0,0,0,1,0,Tussock
138,2,1,NA,NA,1,0,Tussock
139,2,1,NA,NA,1,0,Tussock
140,2,1,NA,NA,1,0,Tussock
141,2,1,NA,NA,1,0,Tussock
142,2,NA,NA,NA,1,0,Tussock
143,2,1,NA,NA,1,0,Tussock
144,2,1,NA,NA,1,0,Tussock
145,2,0,NA,NA,1,0,Tussock
146,2,1,NA,NA,1,0,Tussock
147,2,0,0,0,1,0,Tussock
148,2,0,NA,NA,1,0,Tussock
149,2,0,NA,NA,1,0,Tussock
150,2,0,NA,NA,1,0,Tussock
151,2,1,NA,NA,1,0,Tussock
152,2,0,0,NA,1,0,Tussock
153,2,0,NA,NA,1,0,Tussock
154,2,0,1,NA,1,0,Tussock
155,2,0,0,0,1,0,Tussock
156,2,0,NA,NA,1,0,Tussock
157,2,0,NA,NA,1,0,Tussock
158,2,0,1,NA,1,0,Tussock
159,2,NA,NA,NA,1,0,Tussock
160,2,NA,NA,NA,1,0,Tussock
161,2,NA,NA,NA,1,0,Tussock
162,2,NA,NA,NA,1,0,Tussock
163,2,NA,NA,NA,1,0,Tussock
164,2,0,0,0,1,0,Tussock
165,2,0,NA,NA,1,0,Tussock
166,2,0,NA,NA,1,0,Tussock
167,2,0,1,NA,1,0,Tussock
168,2,1,1,NA,1,0,Tussock
169,2,0,NA,NA,1,0,Tussock
170,2,1,NA,NA,1,0,Tussock
171,2,0,NA,NA,1,0,Tussock
172,2,0,NA,NA,1,0,Tussock
173,2,0,NA,NA,1,0,Tussock
174,2,0,1,NA,1,0,Tussock
175,2,1,NA,NA,1,0,Tussock
176,2,NA,NA,NA,1,0,Tussock
177,2,NA,NA,NA,1,0,Tussock
178,2,1,NA,NA,1,0,Tussock
179,2,NA,NA,NA,1,0,Tussock
180,2,NA,NA,NA,1,0,Tussock
181,2,0,0,NA,1,0,Tussock
182,2,NA,NA,NA,1,0,Tussock
183,2,NA,NA,NA,1,0,Tussock
184,2,NA,NA,NA,1,0,Tussock
185,2,NA,NA,NA,1,0,Tussock
186,2,NA,NA,NA,1,0,Tussock
187,2,NA,NA,NA,1,0,Tussock
188,2,NA,NA,NA,1,0,Tussock
189,2,0,1,NA,1,0,Tussock
190,2,NA,NA,NA,1,0,Tussock
191,2,NA,NA,NA,1,0,Tussock
192,2,0,0,NA,1,0,Tussock
193,2,NA,NA,NA,1,0,Tussock
194,2,NA,NA,NA,1,0,Tussock
195,2,0,NA,NA,1,0,Tussock
196,2,0,NA,NA,1,0,Tussock
197,2,NA,NA,NA,1,0,Tussock
198,2,NA,NA,NA,1,0,Tussock
199,2,NA,NA,NA,1,0,Tussock
200,2,0,0,NA,1,0,Tussock
201,2,1,NA,NA,1,0,Tussock
202,2,NA,NA,NA,1,0,Tussock
203,2,1,NA,NA,1,0,Tussock
204,2,0,NA,NA,1,0,Tussock
205,2,0,0,0,1,0,Tussock
206,2,NA,NA,NA,1,0,Tussock
207,2,NA,NA,NA,1,0,Tussock
208,2,NA,NA,NA,1,0,Tussock
209,2,NA,NA,NA,1,0,Tussock
210,2,0,NA,NA,1,0,Tussock
211,2,0,NA,NA,1,0,Tussock
212,2,0,0,0,1,0,Tussock
213,2,1,0,NA,1,0,Tussock
214,2,0,NA,NA,1,0,Tussock
215,2,0,0,0,1,0,Tussock
216,2,0,NA,NA,1,0,Tussock
217,2,0,1,NA,1,0,Tussock
218,2,0,1,NA,1,0,Tussock
219,2,0,1,NA,1,0,Tussock
220,2,0,NA,NA,1,0,Tussock
221,2,1,NA,NA,1,0,Tussock
222,2,0,0,1,1,0,Tussock
223,2,0,1,NA,1,0,Tussock
224,2,0,NA,NA,1,0,Tussock
225,2,0,0,0,1,0,Tussock
226,2,0,NA,NA,1,0,Tussock
227,2,0,NA,NA,1,0,Tussock
228,2,0,1,NA,1,0,Tussock
229,2,0,NA,NA,1,0,Tussock
230,2,1,NA,NA,1,0,Tussock
231,2,0,NA,NA,1,0,Tussock
232,2,0,NA,NA,1,0,Tussock
233,2,0,NA,NA,1,0,Tussock
234,2,0,1,NA,1,0,Tussock
235,2,1,NA,NA,1,0,Tussock
236,2,1,NA,NA,1,0,Tussock
237,2,1,NA,NA,1,0,Tussock
238,2,1,NA,NA,1,0,Tussock
239,2,1,NA,NA,1,0,Tussock
240,2,1,NA,NA,1,0,Tussock
241,2,1,NA,NA,1,0,Tussock
242,2,1,NA,NA,1,0,Tussock
243,2,1,NA,NA,1,0,Tussock
244,2,1,NA,NA,1,0,Tussock
245,2,1,NA,NA,1,0,Tussock
246,2,1,NA,NA,1,0,Tussock
247,2,1,NA,NA,1,0,Tussock
248,2,1,NA,NA,1,0,Tussock
249,2,1,NA,NA,1,0,Tussock
250,2,0,NA,NA,1,0,Tussock
251,2,0,NA,NA,1,0,Tussock
252,2,1,NA,NA,1,0,Tussock
253,2,1,0,NA,1,0,Tussock
254,2,0,NA,NA,1,0,Tussock
255,2,0,NA,NA,1,0,Tussock
256,2,0,0,0,1,0,Tussock
257,2,0,NA,NA,1,0,Tussock
258,2,0,0,0,1,0,Tussock
259,2,0,0,0,1,0,Tussock
260,2,1,0,NA,1,0,Tussock
261,2,0,0,0,1,0,Tussock
262,2,0,NA,NA,1,0,Tussock
263,2,0,NA,NA,1,0,Tussock
264,2,0,NA,NA,1,0,Tussock
265,2,NA,NA,NA,1,0,Tussock
266,2,0,NA,NA,1,0,Tussock
267,2,0,0,0,1,0,Tussock
268,2,0,NA,NA,1,0,Tussock
269,2,0,NA,NA,1,0,Tussock
270,2,NA,NA,NA,1,0,Tussock
271,2,0,0,0,1,0,Tussock
272,2,0,0,NA,1,0,Tussock
273,2,NA,NA,NA,1,0,Tussock
274,2,1,NA,NA,1,0,Tussock
275,2,1,NA,NA,1,0,Tussock
276,2,0,0,NA,1,0,Tussock
277,2,0,0,0,1,0,Tussock
278,2,1,NA,NA,1,0,Tussock
279,2,0,1,NA,1,0,Tussock
280,2,0,0,0,1,0,Tussock
281,2,1,NA,NA,1,0,Tussock
282,2,0,0,0,1,0,Tussock
283,2,1,NA,NA,1,0,Tussock
284,2,1,NA,NA,1,0,Tussock
285,2,1,NA,NA,1,0,Tussock
286,2,1,NA,NA,1,0,Tussock
287,2,1,NA,NA,1,0,Tussock
288,2,0,0,0,1,0,Tussock
289,2,1,NA,NA,1,0,Tussock
290,2,1,NA,NA,1,0,Tussock
291,2,1,NA,NA,1,0,Tussock
292,2,1,NA,NA,1,0,Tussock
293,2,NA,NA,NA,1,0,Tussock
294,2,0,1,NA,1,0,Tussock
295,2,1,NA,NA,1,0,Tussock
296,2,1,NA,NA,1,0,Tussock
297,2,1,NA,NA,1,0,Tussock
298,2,NA,NA,NA,1,0,Tussock
299,2,1,NA,NA,1,0,Tussock
300,2,1,NA,NA,1,0,Tussock
301,2,1,NA,NA,1,0,Tussock
302,2,0,0,NA,1,0,Tussock
303,2,0,NA,NA,1,0,Tussock
304,2,0,NA,NA,1,0,Tussock
305,2,0,NA,NA,1,0,Tussock
306,2,0,NA,NA,1,0,Tussock
307,2,1,0,NA,1,0,Tussock
308,2,1,NA,NA,1,0,Tussock
309,2,NA,NA,NA,1,0,Tussock
310,2,1,NA,NA,1,0,Tussock
311,2,0,NA,NA,1,0,Tussock
312,2,0,NA,NA,1,0,Tussock
313,2,0,NA,NA,1,0,Tussock
314,2,NA,NA,NA,1,0,Tussock
315,2,NA,NA,NA,1,0,Tussock
316,2,NA,NA,NA,1,0,Tussock
317,2,NA,NA,NA,1,0,Tussock
318,2,NA,NA,NA,1,0,Tussock
319,2,NA,NA,NA,1,0,Tussock
320,2,NA,NA,NA,1,0,Tussock
321,2,NA,NA,NA,1,0,Tussock
322,2,NA,NA,NA,1,0,Tussock
323,2,0,NA,NA,1,0,Tussock
324,2,NA,NA,NA,1,0,Tussock
325,2,1,NA,NA,1,0,Tussock
326,2,0,NA,NA,1,0,Tussock
327,2,NA,NA,NA,1,0,Tussock
328,2,0,NA,NA,1,0,Tussock
329,2,NA,NA,NA,1,0,Tussock
330,2,NA,NA,NA,1,0,Tussock
331,2,NA,NA,NA,1,0,Tussock
332,2,NA,NA,NA,1,0,Tussock
333,2,NA,NA,NA,1,0,Tussock
334,2,NA,NA,NA,1,0,Tussock
335,2,NA,NA,NA,1,0,Tussock
336,2,NA,NA,NA,1,0,Tussock
